order_id,delivery_method,done_delivery_datetime,done_delivery_location
1d5d37d3-ede0-4348-9f38-6a264deaf563,FaceToFace,2022-10-29 20:11:00,Fu Bell
fa5e662b-3404-4f8b-885b-151e32d2dfec,FaceToFace,2023-08-08 23:30:00,Life Science Building
b8559d1a-5b5c-472a-aa69-3d1356782db2,Freight,2022-10-23 13:43:00,Putong Lecture Building
4fcaa393-96ff-4578-a4e2-5f5f2c390d03,Freight,2023-03-30 00:34:00,Sports field
f7c91865-2017-4269-98ad-1b494c4ae094,Freight,2022-07-05 16:35:00,Lu-Ming Square
88e67c9a-2454-4112-bb55-9c00c302a307,Freight,2023-07-02 06:50:00,Mingchuan Elementary School
f66c66fb-514d-40ea-af7e-30b763407f96,FaceToFace,2023-03-14 21:01:00,Life Science Building
19523544-d4cd-400b-afc1-b2656358beff,FaceToFace,2022-01-10 06:19:00,Drunken Moon Lake
6ff284f7-ee87-4ff9-ab0c-24b539efdecc,FaceToFace,2022-08-07 11:34:00,Sports Center
9c7aad65-fcf7-4093-b3d1-fbc912fce084,FaceToFace,2022-08-07 11:34:00,Gongguan Metro Station Exit2
527438c6-6406-48b2-86e4-c0c011ce4e3b,FaceToFace,2023-05-16 23:42:00,Fu Bell
226873c4-86e4-46bb-8620-3c77d63cd5ee,FaceToFace,2023-07-29 12:23:00,Administration Building
2d95aa44-4ee1-4864-878a-8c14554a7310,Freight,2023-07-21 05:48:00,Gongtong Lecture Building
5defafb4-406f-469c-bdd5-0c3f92b85ce8,FaceToFace,2022-11-25 01:49:00,Lu-Ming Square
fd8fc9e2-45cd-4ead-92c6-8680c580b58e,FaceToFace,2023-12-28 23:54:00,Gongguan Metro Station Exit4
bd148bf7-be2f-44fa-ac05-cbd4bbf04879,FaceToFace,2023-12-28 07:32:00,Fu Bell
48f0048e-10de-4ef9-82a8-319457a0bcec,FaceToFace,2022-06-02 04:42:00,Xinsheng Lecture Building
aa72dd35-85bc-494c-8719-0caa2239bb53,FaceToFace,2022-06-07 08:22:00,Drunken Moon Lake
0f6feefd-6fa7-4aee-9cc7-64a9bd167016,Freight,2023-06-29 15:43:00,Life Science Building
0dd984ac-7513-4ac7-96b8-928a29d78244,FaceToFace,2022-09-08 01:12:00,Gongtong Lecture Building
41d94c90-661f-4a61-bbe1-9d1bc18149f1,FaceToFace,2023-09-02 18:01:00,Gongguan Metro Station Exit2
0b1fae38-3045-4f41-a1cc-b56be3345c70,FaceToFace,2022-01-07 01:05:00,Xinsheng Lecture Building
