order_id,buyer_id,transaction_status,buyer_confirmation,seller_confirmation,transaction_rate,transaction_content,place_order_datetime
1d5d37d3-ede0-4348-9f38-6a264deaf563,b89766969,Complete,Finish,Finish,0,Prices are reasonable,2023-03-16 14:58:00
fa5e662b-3404-4f8b-885b-151e32d2dfec,b94795771,Underway,Finished,Unfinished,0,,2022-09-27 16:57:00
b8559d1a-5b5c-472a-aa69-3d1356782db2,b94795771,Underway,Unfinished,Unfinished,0,,2022-01-06 23:05:00
4fcaa393-96ff-4578-a4e2-5f5f2c390d03,b72176783,Cancel,Unfinished,Finished,0,nothing particularly impressive,2023-07-19 03:32:00
f7c91865-2017-4269-98ad-1b494c4ae094,b69410286,Complete,Finish,Finish,0,no major issues,2022-09-03 21:12:00
88e67c9a-2454-4112-bb55-9c00c302a307,b74101441,Complete,Finish,Finish,1,no major issues,2023-06-18 07:58:00
f66c66fb-514d-40ea-af7e-30b763407f96,b81795472,Cancel,Unfinished,Finished,0,selecting the wrong product,2023-07-08 04:17:00
19523544-d4cd-400b-afc1-b2656358beff,b94795771,Complete,Finish,Finish,0,poor quality,2022-08-12 18:12:00
6ff284f7-ee87-4ff9-ab0c-24b539efdecc,b82982114,Complete,Finish,Finish,1,poor quality,2023-09-06 03:06:00
9c7aad65-fcf7-4093-b3d1-fbc912fce084,b81402685,Complete,Finish,Finish,1,Smooth payment process,2022-12-08 06:19:00
527438c6-6406-48b2-86e4-c0c011ce4e3b,b65923036,Cancel,Unfinished,Finished,0,selecting the wrong product,2022-01-15 20:08:00
226873c4-86e4-46bb-8620-3c77d63cd5ee,b65923036,Complete,Finish,Finish,1,Smooth payment process,2022-06-20 06:34:00
2d95aa44-4ee1-4864-878a-8c14554a7310,b81795472,Complete,Finish,Finish,0,Prices are reasonable,2023-09-24 05:04:00
5defafb4-406f-469c-bdd5-0c3f92b85ce8,b84865982,Cancel,Finished,Unfinished,0,Confirmation takes too long,2022-08-07 04:34:00
fd8fc9e2-45cd-4ead-92c6-8680c580b58e,b93516525,Complete,Finish,Finish,0,Prices are reasonable,2022-06-18 02:43:00
